business_id,name,categories
_iABaSzrsm4oJJsSmP1W8g,Los Alazanes,"Restaurants, Mexican"
SNJBmdlacp6MeL9NuDukhw,Fito's Taco Shop,"Restaurants, Mexican"
aDL_KdxbDRT5s51Jtn9V5g,Charro del Rey,"Mexican, Restaurants, Seafood"
jQeThjB6k-q6yc2heVCKSQ,La Mesa Tortillas,"Restaurants, Mexican"
QlAugerLvLsi-1Z2ca9bgA,Cafe Santa Rosa Go:k,"Mexican, Restaurants"
-Rmxzme0KxjvRG45p4gqlA,Chickenuevo,"Restaurants, Fast Food, Mexican"
fzTeOVjzdCo9zQopk5mB4A,Guillermo's Double L Restaurant,"Restaurants, Mexican"
Nggy_QUDxaLlrcQAQf7GnQ,Taqueria Juanito's,"Mexican, Restaurants"
2nOMhod2sggZHzKVipP7gw,Cinco De Mayo Mexican Restaurant & Seafood,"Mexican, Seafood, Shopping, Restaurants"
sr5A1frZiTRediG8FLEkdw,Casa Del Rio,"Restaurants, Event Planning & Services, Caterers, Mexican"
dHpHptXgn1gpuxr_4DrMYQ,La Indita,"Mexican, Restaurants, Vegetarian"
BeoltbGxYneBCWGS5_0FSg,Los Betos Mexican Food,"Mexican, Restaurants"
jQxSzM9Rr8d59XFeAijCTw,Taqueria El Semental,"Food, Food Trucks, Restaurants, Mexican"
wzPc5d1l0PpxQLQDhh8T2w,Toro Loco,"Tacos, Restaurants, Mexican"
mJCQvxebEu85MmjNyQGIJg,el Pollo Lucky,"Mexican, Restaurants, Food, Specialty Food, Fast Food"
4bIWYWFu2OobvS2gz4Lx0g,Pollo Feliz,"Restaurants, Mexican"
5_o6xAj163sAVnKMzQgxeg,Los Betos,"Desserts, Salad, Tacos, Restaurants, Food, Mexican"
mId-M1HWa1lahc9uPjJwQA,Taco Giro,"Mexican, Restaurants"
tXNMdlULhCAh7MQHFlSe9Q,Nico's Mexican Food,"Restaurants, Mexican"
QFwWERpeo3kESm-wX0j2kw,La Casita De Molina,"Mexican, Restaurants"
9STwVAyfD3FrheWIT3OOhg,Francisco's De Noche,"Restaurants, Mexican"
8XSW4uA85WqHdQlRirWkQg,El Sinaloense Hot Dog Cart,"Food Stands, Restaurants, Hot Dogs, Mexican"
ktXr_YoMFDns-s_jsWNJGw,Los Chipilones,"Mexican, Restaurants"
FR1SxQH_3ucer5lxyr2z1g,Las Margaritas Restaurants,"Mexican, Restaurants"
fb4SVEsRv9JQuDMhZOcxoA,El Molinito,"Restaurants, Mexican"
1JeLTkidlEjEi38pJS0JBw,Taco Urbano,"Restaurants, Mexican"
dEOKHo8JDHoG9SuQJ2NT1A,Tutuli's Sonoran Hotdogs,"Restaurants, Mexican, Hot Dogs"
mQKm6zs570t8d44ZgpMg_Q,Guisos Mexican Soul Food,"Fast Food, Mexican, Restaurants"
kwZ8ddju8nJbP_3X3kHpZQ,Karamelo King,"Tacos, Restaurants, Hot Dogs, Fast Food, Mexican"
A5zTYeL1gBpMKgw_btHF3Q,Viva Burrito,"Fast Food, Mexican, Tacos, Restaurants"
qBG3wfTzzgb1HOK2OWigaw,Karichimaka Restaurant,"Salad, Steakhouses, Cocktail Bars, Mexican, Seafood, Nightlife, Bars, Restaurants"
A6z1wMsaLLVTamzooGiqaQ,Taco Bell,"Restaurants, Tacos, Mexican, Fast Food, Breakfast & Brunch, Tex-Mex"
f_xxwfH2g_WkOdtDq5LFNg,Nicos Mexican Food,"Restaurants, Mexican"
0gdnntqYGYhUCTTf0a7Xcg,Tumerico On 4th Ave,"Mexican, Vegetarian, Vegan, Restaurants"
99hjUMP0c_IB5nOzZS4_1g,La Salsa Fresh Mexican Grill,"Restaurants, Mexican, Tex-Mex"
SHWhKFCLAMqbwNFdAohcMg,Rubio's,"Fast Food, Restaurants, Event Planning & Services, Mexican, Caterers, Seafood, Salad"
1vLZFm0f85DwB5jCeA7Olg,Sir Veza's Taco Garage,"Food, Beer, Wine & Spirits, Restaurants, Mexican"
w2zcvd0i8xGy6H_-uXUK7g,Mariscos Chihuahua,"Mexican, Fish & Chips, Tacos, Soup, Restaurants"
JRgjDdPh-8t2jbxuDMuKqw,Chipotle Mexican Grill,"Ethnic Food, Food, Mexican, Restaurants, Fast Food, Specialty Food"
b1nxUFt8ukstKIq-d22icg,Maria's Cafe,"Restaurants, Mexican"
OVKPUDmoS8me5BehMg-n8g,Whata Burro,"Restaurants, Food Trucks, Food, Mexican"
kA6aOMYMd-z45Nj2RrHxPA,Nico’s Sabino Canyon,"Mexican, Restaurants"
uvtDcAEXnTLE2SaTxqrKww,Gema Raspados & Delights,"Ice Cream & Frozen Yogurt, Food, Desserts, Restaurants, Mexican, Shaved Ice"
KJqxR5ITx6tFbCMPGDZnGw,Sir Vezas,"Restaurants, American (Traditional), Mexican"
K7gGvOX25m7vJIvd4cEG3A,Las Brasas,"Restaurants, Mexican"
wDc9x_ylloRtDeglSQKUUg,El Charro Cafe,"Restaurants, Mexican"
Qz3C8vNPH13ao-D4VE5DoA,Los Betos,"Leather Goods, Shopping, Food, Fashion, Restaurants, Tacos, Grocery, Salad, Mexican, Desserts"
NTQSnuc6kMEIEEz2TCVNEA,Carniceria La Noria,"Mexican, Grocery, Food, Butcher, Restaurants"
xNZMbdl8ga_wjBPFMZOsyQ,Guadalajara Original Grill,"Restaurants, Mexican"
mwUCZ-4ClEqKOZ5Cx8dc8Q,Sir Veza's Taco Garage,"Restaurants, Mexican, Nightlife, Bars, Tex-Mex, Sports Bars"
HjfAqGE0rzkcECPywywC1Q,Zendejas,"Ethnic Food, Specialty Food, Food, Restaurants, Mexican"
tV46IhCfHbsx_af-pMupiw,Cafe Poca Cosa,"American (Traditional), Restaurants, Mexican, Latin American"
ltmenUcFgNv7fPOU2BiwKw,El Minuto Cafe,"Food, Restaurants, Mexican"
5HuizbEg6qAIFwE9OAIxbQ,Cocteleria La Palma Mariscos Y Mas,"Restaurants, Seafood, Mexican"
C-9LDLDx0n2_3VPddBsGwA,Tucson Tamale Company,"Mexican, Gluten-Free, Vegetarian, Restaurants"
9hfN2Us2rg8wQTsMX_zTkA,Taqueria El Pueblito,"Latin American, Food, Restaurants, Mexican"
2BeLHWA5CVN9TiiVkVVxQg,Taco Giro Mexican Grill - W Valencia,"Beer, Wine & Spirits, Seafood, Food, Cocktail Bars, Bars, Nightlife, Restaurants, Tacos, Mexican"
TVDgBA0_ziuFfya-dcRCJw,Tequila Factory,"Mexican, Restaurants, Seafood, Nightlife, Bars"
Reuk1p7ZUrLikUjzv70jYA,Tanias 33 Mexican Food,"Breakfast & Brunch, Vegetarian, Vegan, Restaurants, Mexican, Soup"
BbwN6GeKWxvgWaqXdFWokw,Mariscos Topete's Sea Food,"Seafood, Mexican, Food Stands, Restaurants"
VrC_Gt1zNWXcQII4vXUUuw,Tortuga's Tacos & Tortas,"Restaurants, Mexican"
3ekiu6SPjwXvrizZymMqbg,Delicias Mexican Grill,"Restaurants, Mexican"
FNmbZ_kJIq3hnuQ6hy3E-g,Roberto's Mexican Kitchen,"Restaurants, Mexican"
_umVyfHrU42z4Mak-ixCmA,Filibertos,"Restaurants, Mexican"
qftbJ--kQU0jqmn4nNaqDA,Big Juan's,"Mexican, Restaurants"
6GeezpXz_jYeVnt450fOKg,The Garage on 4th,"Bars, Nightlife, Tacos, Sandwiches, Burgers, American (Traditional), Restaurants, Pubs, Mexican"
9zOvOmU2O6WDmhbwrc-QmQ,Mr. Baja Fish,"Restaurants, Seafood, Mexican"
gmYNsG1R5u3e3FueeowAEg,Filiberto's Mexican Food,"Mexican, Restaurants, Breakfast & Brunch"
5zvzRSpiHd4p30idGRaomQ,La Botana Tacos,"Event Planning & Services, Tacos, Tapas/Small Plates, Breakfast & Brunch, Caterers, Vegetarian, Mexican, Restaurants"
s8TE6aXrwEQmODAmYlguUA,Riliberto's Fresh Mexican Food,"Mexican, Restaurants, Breakfast & Brunch, Salad"
OIGWeqqmbLUkbs2GmJSuvA,Villa Mexican Food,"Mexican, Wine Bars, Nightlife, Restaurants, Bars, Beer Bar"
20m52kISMU-pXPGDIuez2Q,Epazote Kitchen & Cocktails,"American (New), Cocktail Bars, Restaurants, Nightlife, Mexican, New Mexican Cuisine, Tex-Mex, Bars, Wine Bars"
wLcQnDmCGe-DZY3gZY6myg,Tacos el Velvet Elvis,"Street Vendors, Food Trucks, Food, Mexican, Restaurants"
T9ipW3BH2_wTUNEGOBpYVQ,Taco Bell,"Restaurants, Breakfast & Brunch, Tex-Mex, Mexican, Tacos, Fast Food"
Jcm-2RZWIcF0E4V6kekBsQ,El Chinito Gordo,"Restaurants, Mexican"
7YYP4htx_BMjPw38OB98kg,Jack in the Box,"Tacos, Burgers, Breakfast & Brunch, Mexican, Restaurants, Fast Food"
XnKEQBo8X5zgCUP54XRNLQ,ChickeNuevo,"Mexican, Restaurants"
tZxUvQk9v2zR7Qdaijwddw,Gigi's Mexican Peruvian Fusion,"Restaurants, Food Trucks, Mexican, Food, Peruvian"
VFtJll73nuPaWdzYNtT61A,Boulevard BBQ and Fixins,"Restaurants, Barbeque, Tacos, Bars, Burgers, Nightlife, Mexican, Beer Bar, American (Traditional)"
PPyZorgUzlfnrSi90VEG2Q,Nico's Taco Shop,"Mexican, Restaurants"
nP36fO128PncgslU-KN8PQ,Los Betos Mexican Food,"Restaurants, Mexican"
Nz5eRRkTK1RGEjUlJojRQQ,El Taco Tote,"Restaurants, Mexican"
plYw0lBpAIBdwqH8FY1H_A,Casa Molina,"Mexican, Latin American, Restaurants"
9-VA_4nL0QfvhO8LMcBIfA,Michoacán Taqueria Raspados,"Restaurants, Food, Shaved Ice, Mexican"
dLdvwa6Dc0ZofiWk-0KUPg,Costa Vida Fresh Mexican Grill,"Fast Food, Restaurants, Tex-Mex, Salad, Mexican"
XYFu64UPMMfoOlGTz3J4fw,Viva Burrito,"Restaurants, Mexican"
AdketR6jJTXBVZf1poPpSg,Ensenada Street Food,"Mexican, Tacos, Restaurants, Food Trucks, Food"
008FLyatMEsZzmmKALIgDg,Seis Kitchen,"Restaurants, Mexican, Caterers, Event Planning & Services"
wpHrK6z6eNwG0k9Ke5q8sQ,Beef Master Meat Market,"Mexican, Butcher, Specialty Food, Restaurants, Meat Shops, Food"
SNyokPrViMBVOqRNWnAwSA,Jason's Mexican Food,"Restaurants, Food, Mexican"
xO87Jp6QOLFIPmoVKSJb5A,Taqueria El Rapido,"Mexican, Restaurants"
ocjotK9u5F3E4CVXD_iNPw,Salsa Verde Restaurant,"Restaurants, Mexican"
oKLzjvat9FGUGpGleIz7eA,Jack in the Box,"Fast Food, Burgers, Breakfast & Brunch, Mexican, Restaurants, Tacos"
hiVEYICpbE4hV_LMZpMY6g,El Burrito Patio Restaurant,"Restaurants, Mexican"
0mNtUn-iQyn47cmnZ9mx8g,El Rio Bakery,"Food, Mexican, Bakeries, Restaurants"
AeYR578gDQUm8qzeMnj3AA,Monster Sonoran Hot Dogs,"Mexican, Restaurants, Street Vendors, Hot Dogs, Food"
ovO6bjl0GGovNW7kkVz_HA,Quick Subs & More,"Mexican, Restaurants"
ts87cjqEKEGnYeFnRwM4Tw,Plazita Mexico Cafe,"Restaurants, Mexican, Breakfast & Brunch"
s2GPXV30E17juvBRpv3YGw,Bernardo's Mexican Food,"Mexican, Restaurants"
mtr3ZUFczIVDbSECJ_mW9w,Taqueria El Rapido,"Mexican, Tacos, Restaurants, Food Stands, Food Trucks, Food"
JVXlIbdFZOscTtO3BDgQhQ,Topopo's Mexican Grill,"Restaurants, Mexican"
c3l9FEnCxH0zf8EypiR61A,El Patio,"Mexican, Breakfast & Brunch, Restaurants, Italian"
-zH42-1AauJru4EF-s7Rgw,Abuela's Cocina Mexicana,"Bars, Restaurants, Nightlife, Latin American, Mexican"
g7tezXh4u5igUZrqMSOzEQ,Casa Sanchez-Mom's Mexican Food,"Restaurants, Mexican"
CeMnmX-jTBUjfM05TdErpg,Sabor,"Restaurants, Mexican"
D5LJiGl3rJpO7eMSpZPIRg,Jalisco Restaurante,"Mexican, Restaurants, Breakfast & Brunch"
x3pTbsABLypwEoTdwQOmSg,El Molinito Restaurant,"Event Planning & Services, Caterers, Mexican, Restaurants"
jxouzim2QaotZa3DYZLweg,Chipotle Mexican Grill,"Restaurants, Fast Food, Mexican"
LZzDvgfpkd4nI3E4L9wF1w,El Charro Cafe,"Tapas/Small Plates, Desserts, Cocktail Bars, Nightlife, Bars, Tacos, Mexican, Food, Restaurants, Salad"
KmZuIc9o_PL2BW8j_7gy7w,Reforma Modern Mexican Mezcal + Tequila,"Restaurants, Tacos, Latin American, Bars, Mexican, Breakfast & Brunch, Cocktail Bars, Nightlife"
_42k0tj-oseoViaTEWb-Dw,El Indio,"Mexican, Restaurants"
F7YS-l6nPkuFMD5nO_QIow,Fito's Taco Shop,"Mexican, Restaurants"
4cW2x-R0QgsGHliDXbDj1g,Deliciocho,"Restaurants, Food, Shaved Ice, Mexican"
n4AbLQ7cm8VxeUuRhzZW9w,Jason's Mexican Restaurant,"Restaurants, Mexican"
P2JRLMUIcW5dLFfuWWmkBA,Abuelitas Taqueria,"Mexican, Restaurants"
cef0ZciVTEqPtNIEwakO7g,Totopos Mexican Grill,"Mexican, Restaurants"
-CbBGlrmddJsaruk6LdI6A,La Placita Cafe,"Salad, Restaurants, Mexican, Soup"
h92MBD02Dmx6d5rAdXQgIg,La Bocanitas,"Mexican, Restaurants"
g5J3EkiaC1AggoxVeXC6xA,Illegal Pete's - Tucson,"Bars, Mexican, Nightlife, Breakfast & Brunch, Restaurants"
rEeNRMhsz_XMoyFHhcLhxw,La Chingada Cocina Mexicana,"Restaurants, Breakfast & Brunch, Mexican, Diners"
8P5wSj-51aqqc-jC31RK9g,Filiberto's,"Mexican, Restaurants"
AVBqx8FaXza6x-bb_FLOTQ,Anita Street Market,"Food, Grocery, Restaurants, Mexican"
MGCCvJLSdGRgW8HJPWmimw,Chuy's Mesquite Broiler,"Mexican, Restaurants, Caterers, Barbeque, Event Planning & Services, Tex-Mex"
yGGuxggHL26qQ0LXO0wg-Q,Chipotle Mexican Grill,"Fast Food, Mexican, Restaurants"
LFUndZacUo5keXKHNPk-vQ,Rosa's Mexican Food Restaurant,"Mexican, Restaurants"
7stknIh9GW-3sUK8zhv5Ow,Crossroads Restaurant,"Seafood, Restaurants, Mexican"
enXvNN8pFfz76KT1PZFlPQ,Pollo Feliz,"Restaurants, Mexican"
vtR2MjFToKkclbUX5DuhlQ,Elvira's,"Nightlife, Bars, Mexican, Restaurants"
KBU4gSoC8LyXzN3ogHDyDA,Sahuaro Cafe,"Mexican, Restaurants, American (Traditional), Breakfast & Brunch"
cvo-WCqsMy4OGja8IP9y6Q,La Fuente,"Bars, Restaurants, Nightlife, Mexican"
Klpb4jqrgCBX9_BnBmkz8g,BK Tacos,"Restaurants, Tacos, Mexican, Hot Dogs, Breakfast & Brunch, Food Stands"
xfMj6vqt4uI8Zu4I08wutw,Lo Esencial,"Restaurants, Mexican"
RFWr4uwiVlttlw9MkfDyNg,La Hacienda Family Mexican Restaurant,"Mexican, Restaurants"
UjUrVT2_vI6X8E08RBRnOA,Aqui Con El Nene,"Restaurants, Mexican"
QW42cH9KsQQ2KR3LOMQ3xw,Carl's Jr.,"Mexican, Restaurants, Fast Food"
JX-LgasQBcGkEW2zzoOLVA,Salud Oyster Bar & Grill,"Food, Beer, Wine & Spirits, Mexican, Seafood, Restaurants"
RNNw-lY0AnDSUDIudLcbbA,Raspados La Nina,"Food, Ice Cream & Frozen Yogurt, Mexican, Shaved Ice, Restaurants"
l_NqE_IHW79Ka-yd6FkQaQ,GRINGO grill + cantina,"Mexican, Restaurants, American (New), Spanish"
dh5f-63H_B1frtfjnuzooA,El Saguarito,"Mexican, Restaurants"
67S8VXb0asIGfNh2-s3ARg,Taco Stop,"Caterers, Event Planning & Services, Food Trucks, Food, Restaurants, Mexican"
RHdEScVIAQ7xzFFMiQEnAQ,The Quesadillas,"Tacos, Restaurants, Mexican"
vQTFffd8OFO8PN94NkQXKw,Goyita's,"Nightlife, Cocktail Bars, Restaurants, New Mexican Cuisine, Bars, Food"
h4CPgWdrG9ejSgaAOOCEaw,Chipotle Mexican Grill,"Restaurants, Fast Food, Mexican"
Ocp5q7JgqoK4hmfotLc4JQ,Mariscos Chihuahua,"Restaurants, Mexican, Seafood"
w9qspQrfRx2Y_m53dIpK7g,Papa Locos Tacos and Burgers,"Mexican, Restaurants, Breakfast & Brunch, Burgers, American (Traditional)"
FosMoRf6vWCVt5BRoZELQA,AJ's Sushi Bar,"Sushi Bars, Mexican, Restaurants"
U782dba0FoFLi3cmXbo88Q,"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson","Caterers, Tex-Mex, Event Planning & Services, Seafood, Food, Restaurants, Mexican"
dreCjzKBp6ZEJTwpL3pQOQ,Viva Burrito,"Restaurants, Mexican"
PQLgzcngJCGQOb32fcz94g,Taco Giro,"Beer, Wine & Spirits, Mexican, Food, Bars, Ice Cream & Frozen Yogurt, Hot Dogs, Nightlife, Seafood, Restaurants"
iOFbMitGdfU6i5xm4nZ8Ww,Blue Willow Restaurant & Gift Shop,"Cards & Stationery, Event Planning & Services, Food, Bakeries, Flowers & Gifts, Nightlife, Breakfast & Brunch, Cocktail Bars, Bars, Shopping, Vegetarian, Gift Shops, Cafes, Beer Bar, Mexican, Gluten-Free, Restaurants, Wine Bars, Arts & Crafts, American (Traditional), American (New), Souvenir Shops"
PzncBMh2G3-EjmggfNxl2g,Nico's Taco Shop - Tucson,"Restaurants, Fast Food, Mexican, Breakfast & Brunch, Food"
yw3v00y3vQBro8vP25Qebg,Carl's Jr,"Fast Food, Restaurants, Mexican, Burgers"
fp_SXpuPXtYySgxsNxG8zg,Taco Bell,"Restaurants, Fast Food, Tex-Mex, Mexican, Tacos, Breakfast & Brunch"
vr1I1RkSL-m6c-LCAd3O7A,HiFalutin Rapid Western Grill,"Nightlife, Mexican, Barbeque, American (New), Comfort Food, American (Traditional), Sports Bars, Southern, Bars, Restaurants, Steakhouses, Breakfast & Brunch"
gfLsBY-xsNE9-ktiTvTvGA,El Charro Cafe,"Cafes, Food, Restaurants, Mexican"
0646KeN8uvNifEr6Y2cyaw,El Chilito Fish-N-Chips,"Seafood, Mexican, Tacos, Chicken Wings, Fish & Chips, Restaurants"
t9RnIkvyRMFi4AgBvEv16A,Taco Bell,"Restaurants, Breakfast & Brunch, Tex-Mex, Fast Food, Tacos, Mexican"
Vsu5oklNtbxpM7ycMBsVyg,Pollo Feliz,"Mexican, Food, Restaurants, Salad, Chicken Wings, Desserts"
kMlSBzyq8uX1UfyhlGowRg,El Torero,"Mexican, Restaurants"
PDX-urhRejDu_-uq6US6xg,El Taco,"Restaurants, Mexican"
AbeWP7_Vxhp45I9IPZ7Otg,Mosaic Cafe Dos,"Food, Restaurants, Mexican"
ylOEXPM_BRubwzzFeP_-OA,Carl's Jr,"Mexican, Burgers, Fast Food, Restaurants"
USKBjFZ6rR4MgycpavF5Ag,The Taco Shop,"Mexican, Restaurants"
L5au-8jxTj5WUhiYNCpnXg,Fork & Fire,"Food, Mexican, Restaurants, Barbeque, Event Planning & Services, Caterers, Food Trucks, Tacos"
AGIKrqh1uMzY-IVsMo7bWQ,Betito's,"Fast Food, Mexican, Restaurants"
YMBW51_613HJ5ExUgYOR5Q,Cafe Bonita,"Mexican, Restaurants"
XACJyX9QZnRA0FrK1-vWqw,San Carlos Grill,"Restaurants, Mexican"
_ZmS8g4F2nsOw24hyXcM_w,Restaurante y Cenaduría El Quino,"Tex-Mex, Restaurants, Seafood, Mexican"
UhIvRYEzM4yxLzGMdAqu4A,El Charro Cafe,"Mexican, Restaurants"
OyUO5U6YDfG66rt7Lv3QhA,Jack in the Box,"Fast Food, Restaurants, Burgers, Breakfast & Brunch, Mexican, Tacos"
lC0_e8F1zAstzhj-O3eQZg,Martin's Comida Chingona,"Mexican, Restaurants"
r17L7AdFR4A9BUoWzv2POw,Taco Giro,"Mexican, Seafood, Soup, Restaurants"
