name,text
Micha's,"We travel to Tucson and through Tucson a lot heading to Cochise County, and depending on the time of day we either breakfast, lunch or dinner here.  Always.  It's that good.  We like the atmosphere (laid back), the family members running the show, the long-time waitstaff AND the food.  Anything is good.  Seriously.  Breakfast chorizo and eggs, huevos rancheros are good choices, spouse loves their pancakes.  I love their refried beans doctored up with their kicky red salsa.  Gets a great eclectic mix of patrons which is distinctly Tucsonian, and that's fun too.  Live long and prosper MIcha's, we've enjoyed your food for years!"
El Charro Cafe,"Had a great dinner here tonight! We actually meant to go to the downtown location, but once we got here we decided to stay. Super cute decor, great service and phenom food. The salsa is very different than Dallas tex mex that I'm used to, but really good. 

I had the shrimp Sinaloa, and one of my co workers got the chicken with spinach mushrooms- everything our party got was awesome. Great find."
Charro Steak & Del Rey,Excellent night and food!  Had the carne Asada and shared a few sides with friends and everything was great!  Especially the Mac n cheese and guacamole prepared and served table side.  Great server and friendly atmosphere.  Love the locally owned feel.  Greeted by Owner. Will definitely go back.
Street- Taco and Beer Co.,This is a fabulous taco shop! The nachos and burrito was huge and tasty. The service and atmosphere was top notch. If I was still in town I'd go back.
Indian Frybread-Manna From Heaven,"I love this place. You know you're getting authentic local cuisine when you see grandma cooking in the kitchen and other family members are taking your order, serving and cleaning up. I've been here a few times and will continue to come back. A creature of habit - I've only had the green chile indian taco with the works and it's really tasty. My go to place for out of town visitors - have never heard a complaint (maybe because they're stuffing their face, lol). Support local businesses and get a great meal at the same time!!"
Penca,"It was delicious and a great option to celebrate our wedding anniversary. First time here, and the waitress was really helpful explaining the menu, and cocktails.

Ordered the Costilla de res and steak."
Street- Taco and Beer Co.,"Where to begin...the pollo asada is awesome, tender & flavorful!!! Get both the classic or hibiscus margarita! While it is a good lunch place, I'd also highly recommend it for dinner! Everyone was personable and provided great service!"
Taqueria Pico De Gallo,"Andrew Zimmerman from the food network ate here, but that's not why we came. We came for the handmade corn tortillas and ceviche. 

Cheap and delicious. Fat home made corn tortillas topped with a generous serving of shrimp ceviche made from marinated raw shrimp vs pre-cooked. The shrimp are still a bit grey but fully cooked from the acidity of the lime. 

Accompanied with delicious pickled red onions and carrots. 

Fish taco. Battered, fried, crispy light and delicious upon the plump hand made corn tortilla. 

Hole in the wall spot. Dingy but Delicious. Customers include dirtbag smelling kids in dreads and polished white folks in reading glasses.  Cheap, excellently prepared food appeals to all."
Maico,"One of the best places to get street tacos in Tucson. Large selection and super friendly service. Low prices make it an excellent value, and a must try for locals and visitors."
Charro Steak & Del Rey,"Wow - everything about this place is simply amazing!  We made reservations and were warmly greeted and quickly seated at a quiet, nice table overlooking the street and patio.  We had an amazing meal at El Charro earlier in the week, so we knew we were in for a treat at Charro Steak.  My husband and I shared the carne asada with manchego and peppers, the pork chop with prickly pear glaze, the grilled brussels sprouts and corn and the pinto beans. Everything was delicious, but the carne asada may have been the best I have ever tasted!

Convenient downtown location, great service, nicely appointed dining room and top notch food!"
Charro Steak & Del Rey,"We celebrated our wedding anniversary there, and the entire staff made it exceptionally special. The chef even came out and introduced himself and took extra care of us.  The food was outstanding, service was great and the atmosphere was warm and inviting. They had a fantastic acoustic guitar player which enhanced the whole experience.  This is not your typical steakhouse dining experience. It has an upscale southwestern vibe to it. Go try it!"
El Charro Cafe,"I am in town visiting my parents and though we normally prefer trying out new places, we came for dinner the second night in a row tonight. This place is so good! It was the salsa that hooked us all, but our meals were equally as delicious. The manager, Miguel, is so hospitable and welcoming. He brought us out some amAzing sauces to try. Our waiter, who shared that he was a student studying engineering and also had a second job, was so wonderful and attentive, despite my thoughts that two jobs and an engineering degree in progress likely involves a lack of sleep. I am a vegetarian, and their veggie selection is Fantastic. The vegetarian enchiladas are especially delicious. Thank you!"
Indian Frybread-Manna From Heaven,"Tastes as good as everyone says it does, absolutely will go back again. Service was great. I was having a hard time picking the red or green chili so they gave me a sample of both, I would be happy with either but went with the red.

One serving could probably feed two, I had well over half of mine left over.

My only possible concern would be the place was a bit warm and it wasn't even 100 outside. They only appear to have swamp cooling so when it hits 110 out and/or the humidity gets high it may get unpleasant."
El Merendero,"Best beans in Tucson!!! Wow - incredible beans! Fish tacos were excellent. Super cheap, friendly staff. What a great find!!!"
BK Tacos,"This is one of the best eating places of Tucson. They have one of the best carne asada marinated meats in all of AZ, you have to try it to believe it! Very few places will compare in the entire state."
Charro Steak & Del Rey,"Enjoyed a tasting menu through Verizon and left stuffed. Viva Rosa Margarita was delightfully fruity and delicious. Table side guacamole was perfect, and lasted through the main course. Carne asada and pollo asada were served with beans, pico, and some slaw concoction that was great on the tacos. Pollo asada was a little different than I'm used to, with barbecue sauce on top, but was still good (wife almost choked on it because of the heat of the sauce). Overall, great service and amazing food!"
Taqueria El Cheke,"Los tacos estan muy buenos, autentico sabor de sonora, la barra de salsa muy fresco y buena atencion, abren hasta tarde."
El Dorado,"This isn't the place for Chile Relleno, big whoop. Try something else, like their chile con carne and you will experience true sonoran food.  As a fifth generation Arizona with roots in Tucson's Mexican community, I have to say they have the best  red chile con carne. The chile sauce is more than just any chile sauce. It has real flavor I haven't found at any other Mexican restaurant. South Tucson has some great Mexican food! 

If you get the ritas, try on the rocks. 

It's always a good sign you're at a good mexican restaurant when almost everybody you see there is Mexican. Also, no need to worry about language barriers like one of my friends was afraid of, the waiter I had, who apparently works there regularly can speak English with barely even a trace of a Mexican accent. 

Foood and atmosphere was impressive!"
El Charro Cafe,Excellent service and the food was great! Such a fun find on our trip! We liked it so much after our first night we came back for our last night. The ambience is adorable and has a Tucson vibe!
Charro Steak & Del Rey,Absolutely amazing service and delicious food. We were there last night for my mother n laws birthday and it was a large party with kids. Our waiter was accommodating to my allergies and treated our kids the same as the adults. He was so polite and friendly. He even opened the door for us as we were leaving. Absolutely great time. Will go again when I'm back in Tucson.
Street- Taco and Beer Co.,"My favorite place to eat and watch the game.  Great, fresh food plus a nice chips and salsa bar.  Very Affordable.  Also, if you check in after 3pm on YELP, you get a free taco."
Street- Taco and Beer Co.,"I love Street! Victor makes this place home for me and all my friends. If you go to the bar, ask for Victor!"
BK Tacos,"One of my favorite taco spots, great guac, order some carne tacos, and a michilada with some Mexican beer."
Aqui Con El Nene,"Better Sonoran dogs than BK and much better than Guero Canelo. It was a bit toasty sitting outside, but the food was well worth it!"
Penca,"Great food and drinks.  Cozy restaurant and great for people watching.  I like the mescal cocktail, smoky and not too sweet.  I dined with my 11 year old and he loved the ""chicarrons""...fried pork skins.  We've been there a few times and the food is always wonderful.  Nice atmosphere and we were happy with the service."
Charro Steak & Del Rey,Honestly the carne asada steak is insanely good. The meat was very tender and juicy and full if flavor. I also recommend the potatoes with Chile en rajas. Overall food and service 12/10.
Casa Molina Del Norte,This is my absolute favorite restaurant.  I have to go here first thing when I come to Tucson.  They have the best carne seca.  You just can not find this outside of the Tucson area.  You must get the carne seca burro enchilada style and a green Chile cheese crisp.  There is nothing better.
St Mary's Mexican Food,"This is the best Mexican food in Tucson. I have used their catering services for my wedding, my baby shower, and family birthday parties and have received nothing but rave reviews. Their customer service goes above and beyond and I have no complaints! I highly recommend St. Mary's for any occasion - from a quick bite to eat to a big life event - they are simply the best!"
Charro Steak & Del Rey,"Our son chose this restaurant to celebrate his graduation from U of A. The food and service were both excellent. We thoroughly enjoyed the table side guacamole. In addition to delicious steaks and carne asada, they had many gf and vegetarian options to suit all of our needs. The branzino was wonderful! We were so full, we didn't take them up on their offer of a free dessert!"
St Mary's Mexican Food,"I love their bean tostadas, also red chili burros are delicious, service is okay can't complaint"
St Mary's Mexican Food,"Best tortillas in town. Try the red chili or chile rellenos. Quality is like any sit-down place in town, but better prices."
Seis Kitchen,So glad to have Seis here in Oro Valley! The space is gorgeous and spacious and there's a lovely patio with a view of Pusch Ridge. We visited and enjoyed some delicious margaritas and split the nachos - so yummy and plenty of food to share. You order at the counter and they deliver the food and drinks to your seat. Our service was quick and the everything was delicious. The watermelon marg is one of my favorite in town. Welcome to OV!
El Charro Cafe,"We tried again tonight and had absolutely excellent service and food. The waitress was very attentive, the food was fresh, and all the employees worked as a team. I was glad to have another great experience here."
Penca,"We went for my birthday and I did not get disappointed. The drinks were amazing and unique. We first ordered the mole appetizer sample and it did not disappoint us at all. Then The seafood tostada which was delicious and the pozzole. I don't remember what my husband had but he was in heaven and let me try it and it was so tasty. Maybe it was some kind of short rib tacos maybe. 
My daughter had the coliflor tacos and they were surprisingly super delicious. I'm thinking of getting that for myself next night. 
I definitely recommend this place. And loved the atmosphere too. Maybe a little dark but still enjoyable."
Club 21,The carne seca is AMAZING!!! Flavorful and authentic!  This is a very calm and kind place to eat. Staff is very friendly and I really appreciated the service.  I will DEFINITELY return!
Tacos Apson,"Love the tacos here, always have, I'm glad to see they opened a new location closer. The Cashiers are always helpful and friendly, the meat is always fresh, and everything's there, Always coming back!!"
Charro Steak & Del Rey,"Went here for a work event and ordered from a limited menu. Had my heart set on a burger but got pushed to a prickly pear BBQ chicken. I was glad for it in the end. It might have been the best BBQ chicken dish I ever ate. Those nearby reported the steak was excellent.

A word to the management, though. When serving communal desserts you might consider including a communal knife and fork too. Just sayin. Human behaviors under such constraints yield a condition in which I don't get to try dessert."
Taqueria Pico De Gallo,"After hearing about Taqueria Pico de Gallo for years, I only discovered it on a research trip to a school in South Tucson, bright yellow and beckoning on my commute. I am so glad I saw it!

Corn tortillas. Corn tortillas. Corn tortillas. I am convinced that this place has the best fish tacos in the world, but anything would taste great on those tortillas. The homemade horchata is a wonder, and I adore the Pico de Gallo: tropical fruit covered in a delicious mix of lime, salt, and chile. It is the perfect accompaniment to a plate of tacos, especially on a hot day."
Taqueria El Cheke,"The abodaba was the absolute best I've ever had. The spices were perfect. It was moist, flavorful. I had it on the Lorenza, a toasted street taco, and in a caramello. Both very delicious! The corn tortilla for the Lorenza was toasted perfectly. The Chipilon style Sonoran Dog was good, but not their star dish. The service is friendly. Last night, one of the brothers in this business saw my daughter had her purse on the table in our party of three so he came out, got a chair from another table and put it on the end of our table and put her purse on it. How sweet!

So today I went to see my daughter at work and I asked her what her plans were when she got off. She replied that she was going to go eat. I asked where, to which she replied ""Back at the taco place:"" to which i laughed and said, ""So am I!"" We both were thinking about it all day because it was so good. That was hilarious. But the fact is, the abodaba is excellent!

5* = A top favorite. Mind-blowing good. I will definitely return and I will go out of my way to go here. Worth every dime of my money.

4* = Outstanding. Tucson-top-tier. Some elements not quite as good as it gets, but it still is worthy of my regular business.

3* = Good experience. I might do repeat business if it is convenient, the only option, the only one in its category, or on a whim, but would not be among the first thing to come to mind. Would definitely recommend you trying it to get your own take on it.

2* = Not so good. Would not recommend at all. Waste of money.

1* = How are they still in business? Stay away at all costs!"
Penca,Hands down best mexican food and drinks in Tucson
Taqueria Pico De Gallo,"Great Sonoran street food!  Went on the recommendation of a coworker today, and am glad I did.  Plenty of food for the money, served VERY hot, and obviously made with love.  I'll be back!"
El Merendero,"Great food Had the stuffed chili relleno.  Salsa were good too.  Very nice waitress named Karen.   They do not have a full bar. They only serve wine margaritas, wine and beer."
Taqueria Pico De Gallo,"I won't say it's the best taqueria in Tucson - such statements are way above my pay grade.

However, this place never fails to satisfy. It's a no-frills hole in the wall that delivers, and it's the pretentious-free ambiance and the hand-made thick corn tortillas that really make this place stand out. The fried fish and cabeza tacos are my go-to selections here. No matter what you order, though, you will not leave unsatisfied.

You will reserve a special place in your stomach for Taqueria Pico de Gallo."
La Indita,"Made a place for us! Seated immediately on a busy night. Service with a broad smile. Great menu, scrumptious homemade chips and salsa. Great, slightly sweet green chili on the enchiladas, and nice shredded cabbage garnish. Delicious tamarind drink, made on the premises. Great Tucson tradition, with the real La Indita making the tortillas. AMAZINGLY GOOD FOOD. ."
Taqueria Juanito's,Delicious tacos not to be missed! Great Carne Asada and Al pastor all freshly made and cooked perfectly :) Don't miss this gem!
el Pollo Lucky,"Pollo Nuevo..
I like the food here.. 
Haven't had a bad meal here yet..
Usually get 1/2 chicken , rice , macaroni salad
Mmmmm."
La Indita,"We had a wonderful experience at this restaurant. My friend had just arrived from the Czech Republic and he wanted a typical Tucson dining experience. La Indita did not disappoint. The special was chicken enchiladas with a green sauce, rice and beans. Everything was like I like it. The rice was flavorful and not clumpy. The beans were spiced just right and creamy. The chicken was clearly cooked that day. So yummy! My friend enjoyed his albodinga soup and complimentary sample plate. Service was great! I don't know why I don't eat here more often! I'll be back soon."
Chipotle Mexican Grill,"I always have amazing service when eating at this Chipotle; the employees are very friendly and go above and beyond. The restaurant is always very clean, and the food is (of course) delicious."
Tumerico,Everything was delicious & seasoned just right! Wendy is a great chef & a great soul. You can taste the love she imparts to her food.
Las Margaritas Restaurants,"Amazing Mexican food! Family has been coming here for years! I'm not a local but every time I visit Tucson, this restaurant is a must! 
Mini Chimis are bomb. Red chili is superb."
El Sur Restaurant,"Yum! Very busy at lunch,  y muy delicioso... the chicken chimi combo and a Patron Margarita made the trip to Tucson worthwhile."
Guillermo's Double L Restaurant,"The first time our family came (includes 3 kids).  Decorations are nice feels like home and as soon as we were seated we were all given water, chips & salsa.  Chips & Salsa were good spicy and no spicy.  Waiters was great and attentive, reasonable prices. Husband had chicken enchiladas, I ordered Melinesa, kids ordered hotdog and a breakfast burrito all so good."
Cinco De Mayo Mexican Restaurant & Seafood,"I ate here a few months ago after hearing that is was the same menu as my favorite place, Guillermo's. The happy hour menu is dangerous (VERY reasonably priced!). Great place, beautiful interior and friendly staff. Will definitely come back when it reopens!"
Taqueria Juanito's,"We stopped here while driving thru Tucson from California to Texas. We arrived too late for breakfast but got carne asada tacos and the barbacoa plate. The meat was tender and well seasoned, tortillas were fresh, and the salsa was hot. What a wonderful meal! The service as also super friendly and fast."
Taqueria Juanito's,"Very good food, and a great value. The ceviche tostada was delicious and fresh, the chicken burrito was savory and flavorful, beans and rice were good and two tasty types of salsas, with a little kick. Highly recommend. Parking was easy"
Tumerico,"Even if you are not vegetarian, you have to check out Tumerico. The flavor profiles in these dishes are outstanding!! It's truly a one-of-a-kind restaurant. You can get all your favorite Mexican dishes in Vegetarian or Vegan form and it tastes even better than from a traditional Mexican restaurant. The service is always on point. The staff are all so friendly and happy to be there. Also - endless coffee is always a plus!! I could eat here every week."
Tumerico,"The food is delicious, the service is ok, and you get a nice vegan dessert with your meal too. The cookie was pretty crumbly and dry, almost cracker like. I'm not here for that so I'm not counting that against them. It's free!

The menu changes all the time so whenever you go you get something new. I know that for some, that can be kind of annoying but I'm sure you won't be disappointed."
Taqueria Juanito's,"Best Mexican carry out!  Period!  

I like the combinations, enough for 4 great tacos with beans and rice for $6.50.

Downsides: 1. However, eating there not so posh. 2. No beer."
El Molinito,"I just had El Molinito cater my father's birthday party and I was very pleased! First of all, I found them super affordable. Under $600 for the deluxe, plus drinks, set up, tear down, for 40 people way out in Catalina! I thought that was going to be tough, but nope, no problem.

Next, the food: we are all Southern Californians, so we don't know much about Sonoran Mexican food.  YUM! The beans were oh so good! The shredded beef was divine. HUGE amount of guacamole and sour cream.  Fruit changas for desert? I never heard of them, but they were super yummy.

And finally, major shout out to Andy, the manager of the Oro Valley restaurant.  He came out in his own car, set everything up, then came back and took away all the dirties that night.  He even brought containers for leftovers (which we totally devoured the next couple of days). 

I'm really happy with this place.  Will head there to the restaurant next time I'm in Tucson."
Tumerico,A great recommendation from a stranger sent us here. We had a fantastic meal here. Reminded us a lot of the great flavors from a trip to Costa Rica. Portions are generous. Included soup and coffee is a plus. Consider showing up on the shoulder of lunch time since the business was hopping. Give it a shot!
Tumerico,We loved it. Such imaginative flavors and fantastic food.  Lovely place for casual dinner!
Tumerico,"This food is heavenly and incredible, very fresh, menu changes daily,  very personable staff, really clean. Turmeric lemonade is out of this world. Empanadas are a must to try"
Taqueria Juanito's,I have eaten here at least a dozen times and I have never been disappointed. They have a hard working staff that makes great dishes. It also in a good value for your dollar.
El Sur Restaurant,I absolutely adored this place. The service was SPECTACULAR from the moment you walked through the doors! I ordered the vegan fajitas and my friend ordered the chicken enchiladas with fried Oreo ice cream. We had an experienced server and a server who was in training. Both were absolutely fantastic. The food was very affordable. I would 100% recommend this restaurant to anyone wanting to experience authentic Mexican cuisine while in Tucson!
Tumerico,"Bomb diggagy  Vegetarian food has never been so good. This place is too legit to quit. One of the best restaurants in tucson. Best Tacos Best Smoothies and you can do yoga there, taking health and wellness to another level. I'm gunna Salivate as I Elevate. Coffee is King. Go there and Stand by to Get Some"
Karichimaka Restaurant,So yummy!  Worth the drive....a perfect stop after a trip to the Sonora desert museum   The perfect place to try a signature  Tucson cheese crisp
Taqueria Juanito's,"This is the best small authentic taqueria I've ever been too. Great food, great prices and great customer service. Food taste fresh and not over seasoned. Great experience, definitely would come back here for the post 8:30pm Mexican."
Toro Loco,"Really amazing food. I have been here several times and usually stick to the vegetarian options. The last time I tried their pork pastor taco, it was also very delicious. Vegetarian burritos and tacos are still my favorite."
Casa Del Rio,"Was here for the first time last Friday night and had the carne asada chimichanga. It was absolutely amazing the steak melted in your mouth like butter, also got to try the Mexican pizza, so delicious. The prices are very reasonable and the service was outstanding. I definitely will go back to eat at this place."
Mariscos Chihuahua,"Super yummy place. Prices were a bit steep but it's seafood, so can't explain. Took my team of college tennis players that are from all over the world (USA, Mexico and Africa) and they all loved it. Big portions and such good flavors!  

Service was great. I forgot her name, but our server was so nice and explained everything to the players that never really ate Mexican food. The fried red snapper was amazing. Nicely fried and not oily. The Cameron Rellenos are super crunchy and the shrimp inside was still so flavorful and soft.  Oysters were ok... not as chilled as I would like. Nonetheless, yummy."
Tumerico,"Fantastic! Great service, amazing food! The restaurant is loud (we went on a Friday during lunch) so it's not the place to go for a quiet conversation but it is worth driving to Tucson from Phoenix for - seriously."
La Hacienda Restaurant,"Great food!  I got take away, and was pleasantly surprised that they included a bag of chips and salsa!  The people I interacted with were lovely, too."
Toro Loco,Amazing tacos!!! My husband had the fried Chicken tacos and I had the sweet corn chicken tacos and both were yummy!!! The side order of sweet corn is to die for!!! A hidden treasure off Broadway and Pantano!!!
Charro del Rey,This is our first experience dining at Charro del Rey. We were celebrating a very special occasion. Farrah was amazing! She gave us great direction and we had a  fabulous meal. We can't wait to return - Charro del Rey just became one of our favorite restaurants!
El Sur Restaurant,The best mom and pop Mexican restaurant there is no questions asked. There menu is extensive and we've tried so many different things and they all turn out great. Wonderful staff and environment always genuinely thankful that you came in. Me and my family go there as often as we can!
El Sur Restaurant,We can't say enough about how much we love El Sur! The food is flavorful and fresh. The staff is all friendly and invite you in like family. Is twice a week too often to visit? We can't get enough!! Thank you El Sur!!
Karichimaka Restaurant,"Stopped here for dinner as they didn't have a wait and so many restaurants had an hour or more wait....that being said we weren't sure what to expect. We are SO glad we did! 
Beautiful outdoor patio, friendly service, and great food. The tortillas were soft, pipping hot and homemade, the salad was huge, and the fajitas were awesome with a freshly grilled taste. Hot and delicious sopa pillas for desert topped off the night. 
Thank you so much and we can't wait to come here again in our next visit to Tucson!"
Toro Loco,So freaking delicious! You must try the Hot Habanero Burro & Loco Fries! Definitely filling!
Mariscos Chihuahua,I love this little place and authentic Mexican seafood. Go for whole fried Snapper and ceviche.
La Indita,"The most authentic Mexican food I've ever had! Everything is homemade, the service was exceptional, and the ambiance was relaxing and homey. Especially recommend their mole, enchiladas, and tacos. Such a great spot with delicious food and excellent staff."
Taqueria Juanito's,"This is one of my favorite places in Tucson!! The food is always on point and the prices are affordable relative to other overpriced Mexican restaurants. The taco plate comes with rice, beans, avocado, and plenty of tortillas. The quesadilla is massive and absolutely delicious. The Jamaica is one of the best too! I can't wait to order again!"
Karichimaka Restaurant,Moved away from Tucson many years ago. When visiting recently noticed Karichimaka was still there so stopped for lunch. It was as good as I remembered it to be.
Tumerico,One of my fav restaurants ever! BEST food and awesome people! I feel like I could eat there every day and never get sick of it. One of my favorites is the Ropa Vieja plate but every time I try something new it becomes one of my favorites. The breakfast burrito is the best I've ever had. Just pure awesomeness on every level!
The Landing,Great new spot by the owners and collaborators of Finis Landing (Swan and Sunrise). Love supporting local ventures and this place makes it so easy. Great vibe and friendly staff. Excited to see how this new concept settles into the neighborhood. Get the Crispy Birria Tacos.
Karichimaka Restaurant,Love Karichimaka. Favorite restaurant for 40+ years! Great food. Family setting. Loyal staff.
Tumerico,"One of the best lunches I have had in a very long time.  Haven't been to a vegetarian restaurant since I was in California several years ago.  Everything looked so good it was a hard decision, but settled on the Cuban tacos with rice, beans and salad.  It was absolutely delicious.  Looking forward to coming back next time we are in Arizona.  So very good!!   Yum, Yum!!"
Tumerico,First time here and was incredibly happy with the food and service! Love this place and will be back!!!
Tumerico,"We went to Tumerico last night and the staff were very friendly and attentive! The food was so delicious and filled with lots of veggies. The plates were very big and could easily be shared. The leftovers made for a quick and tasty lunch the next day. The tortilla chips and tortillas were also spot on.

I asked if they had a kids menu and they said that they can make whatever my son wanted. His meal came with a delicious quesadilla, guacamole, salad, rice and beans. It was the best kids meal that I have ever seen! We will definitely be coming back. Thanks for the delightful experience!"
The Landing,Great Taco Place. Food was absolutely amazing! Alex the waitress was great she made sure to tell us about the alcohol that they had and the food choices!!!  Great smile and great service!
Leo's,My friend and I googled Mexican food in the area and Leo's had excellent reviews. They are very friendly and greeted us as we came in. Food was excellent and reasonable. Highly recommend it!!!
Tumerico,"Delicious! Wasn't expecting the flavor for a vegan dish, but wow. Definitely recommend eating here!"
Tumerico,"Tumerico has the best vegan food in Tucson. Hands down. The first thing that strikes you when you walk in is the wonderful aroma. Then when you take in the ever-changing menu you start to realize this fast-casual cafe does not serve typical fast-casual food. The dishes are vibrant and colorful. And you can taste every ingredient within its proper balance and texture. 

Tucson food culture is well represented here, like with tamales, enchiladas, tortas, flautas, burros, etc. But the menu also includes a regular rotation of curry dishes, Cuban dishes, noodles, salads, all sorts of stuff really. 

We ordered the Squash Blossom Gorditas ($14). Shareable and absolutely delicious. Served with seasoned rice and beans, with a fresh mixed salad, every single bite had a blend of well-prepared flavors. The beans in particular had a wonderful smokiness to them. The masa dough was well textured, but not too tough. (Quibble alert: the gorditas were really sopes: little cup-shaped mounds of fresh masa. Labels aside, yummmm.) And the vanilla cream was wonderfully light and, well, creamy. 

Tumerico is the kind of place where you leave feeling better than when you came in. So please be sure to check it out. Some 5 star places on Yelp don't deserve their ratings. But Tumerico definitely does."
Cafe Poca Cosa,"I have been here twice. This is easily one of the greatest restaurants in Tucson because it is so unique, located in a great area, and beautiful inside.

I love the rotating menu that is brought out on a chalkboard and changes on a daily basis. This is authentic Mexican food. It's nothing like the standard American style Mexican that most people are used to. The mole is very good, the carne asada is fresh, they also give you fresh fruit with most courses. The salsa is very good and fresh, and the plantains are excellent!

Definitely worth a visit for locals and for visitors alike. The food is very tasty and fresh as well as very authentic."
Cafe Poca Cosa,"Anytime we are in Tucson we come here. It never disappoints us. Chiefs plate is always a great way to taste much of the ever changing menu. One of my best meals tonight. Only wish we had this place in San Diego. They do get busy so make a reservation. Parking garage right here. Fast services great atmosphere
 Do try this place."
Seis Kitchen,"Love their pork burritos! Great restaurant and service!
The last time we were there they messed up our order and they gave our order for free and kept apologizing! Great service!"
Gigi's Mexican Peruvian Fusion,"I never know what to get at Food Truck Roundups, but something about the Gigi's truck caught my eye (perhaps the bright green? Visual menu board??) and I just had to try it! 

I decided on the Steak and Shrimp Burrito. It was later in the event and they had run out of shrimp, so they kindly charged a little less. The steak was tender and juicy. The burrito was a tasty treat and incredibly filling! I was able to save half for the next day! An awesome burrito is a meal in and of itself, but Gigi's includes the most amazing fries with their food!! The fries are thick and the perfect balance between crispy and soft! I loved every bite of this meal and cannot wait for them to return to Sahuarita!"
El Taco Tote,The absolute best Mexican food in Tucson. Period. Great prices. Ice cold beer. Real chips and multiple tasty salsas.
Cafe Poca Cosa,"Cafe Poca Cosa offers a great concept in cuisine, with an inviting menu that changes twice a day. Every dish sounded so delicious that I was ecstatic when the waitress mentioned their special surprise dish with mini versions of 3 dishes that they had. I look forward to my next time here and what new creations they will have in store."
